,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
328,Leys Road,4825000,House,10475,7,7,7,Oxshott,Surrey,KT22 0QE
329,Lillian Road,1575000,House,1983,4,4,4,Barnes,London,SW13 9JG
330,Christchurch Street,2550000,House,1266,3,3,3,,London,SW3 4AR
331,Abercrombie Street,525000,Flat / Apartment,707,2,2,2,Battersea,London,SW11 2JB
332,Rutland Road,775000,Flat / Apartment,967,2,2,2,South Hackney,London,E9 7TT
333,Ruvigny Gardens,3250000,House,2210,3,3,3,Putney,London,SW15 1JR
334,Hazelwood Drive,775000,Bungalow,1459,4,4,4,Pinner,Middlesex,HA5 3TT
335,Roseneath Road,1775000,House,2153,5,5,5,,London,SW11 6AQ
336,Eton Avenue,3250000,House,2543,5,5,5,Hampstead,London,NW3 3HL
337,Drapers Court,700000,Flat / Apartment,797,2,2,2,59 Lurline Gardens,London,SW11 4DF
338,Creffield Road,595000,Flat / Apartment,760,2,2,2,,London,W5 3RP
339,Oakhill Road,525000,Flat / Apartment,540,1,1,1,Putney,London,SW15 2QU
340,Conway Road,2450000,House,3007,6,6,6,Wimbledon,London,SW20 8PA
341,Henfield Road,550000,House,538,2,2,2,Wimbledon,London,SW19 3HH
342,West Side Common,3950000,House,6186,6,6,6,Wimbledon,London,SW19 4UF
343,Melody Road,600000,Flat / Apartment,1024,1,1,1,,London,SW18 2QF
344,Fullerton Road,1450000,House,1984,5,5,5, Wandsworth,London,SW18 1BX
345,Eaton Row,5750000,House,2896,3,3,3,Belgravia,London,SW1W 0JA
346,Rutland Gardens,7500000,Flat / Apartment,1793,2,2,2,,London,SW7 1BX
347,Park View Court,180000,Flat / Apartment,745,2,2,2, Bow,London,E3 3AN
348,Paxton Close,699950,House,909,3,3,3,Richmond,Surrey,TW9 2AW
349,Hardwicke House,665000,Flat / Apartment,935,3,3,3, Richmond,Surrey,TW10 6PW
350,Kersfield House,210000,Studio,328,0,0,0, Putney,London,SW15 3HJ
351,Westminster Close,1550000,House,3112,5,5,5,Northwood,Middlesex,HA6 2TG
352,Church Road,865000,House,1292,3,3,3,,Northwood,HA6 1AR
353,Upper Grosvenor Street,18000000,House,8315,7,7,7,Mayfair,London,W1K 2NP
354,Barclay Oval,1100000,House,3153,5,5,5,Woodford Green,Essex,IG8 0PP
355,Thornhill Crescent,2850000,House,2857,5,5,5,Islington,London,N1 1BJ
356,Ripplevale Grove,1150000,Flat / Apartment,1074,3,3,3,Islington,London,N1 1HT
357,Long & Waterson Apartments,550000,Penthouse,414,1,1,1, Hackney,London,E2 8HN
358,Long & Waterson Apartments,690000,New development,596,1,1,1, Hackney,London,E2 8HN
359,Ardwick Road,995000,Flat / Apartment,999,2,2,2,Fortune Green,London,NW2 2BX
360,Waynflete House,575000,Penthouse,1029,3,3,3, Esher,Surrey,KT10 9QS
361,94 Claygate,334950,Flat / Apartment,477,1,1,1, Claygate,Surrey,KT10 0RB
362,Carlton House,1000000,Penthouse,962,2,2,2,Putney,London,SW15 2FU
363,Queens Road,750000,House,1510,3,3,3,Thames Ditton,Surrey,KT7 0QX
364,Southborough Road,2100000,New development,3596,5,5,5,Surbiton,Surrey,KT6 6JN
365,Pavilion Park,1299000,New development,1903,4,4,4, East Molesey,Surrey,KT8 9DX
366,York Avenue,1900000,House,2358,4,4,4,,London,SW14 7LQ
367,Sutherland Gardens,1295000,House,1813,4,4,4,East Sheen,London,SW14 8DB
368,Turnstone House,1280000,Flat / Apartment,1169,2,2,2,Star Place,London,E1W 1AE
369,St. Marys Grove,1425000,House,2028,4,4,4, Chiswick,London,W4 3LL
370,Stanton Road,1795000,House,1720,4,4,4,Barnes,London,SW13 0EX
371,Afghan Road,1125000,House,1423,4,4,4,Battersea,London,SW11 2QD
372,Old Chesterton Building,945000,Flat / Apartment,1001,2,2,2,110 Battersea Park Road,London,SW11 4LZ
373,Kersley Street,3150000,House,2809,5,5,5,Battersea,London,SW11 4PR
374,Grosvenor Avenue,699950,Flat / Apartment,920,2,2,2,Highbury,London,N5 2NP
375,Speldhurst Road,1275000,House,1420,4,4,4,Chiswick,London,W4 1BY
376,Lamont Road,3750000,House,2428,3,3,3,,London,SW10 0HX
377,Mortimer Court,460000,Flat / Apartment,431,1,1,1,Abbey Road,London,NW8 9AB
378,Cavendish Avenue,6795000,House,4637,6,6,6,St John's Wood,London,NW8 9JE
379,Bangalore Street,1695000,House,2096,4,4,4,Putney,London,SW15 1QD
380,Hilltop,1050000,House,2254,5,5,5,Loughton,Essex,IG10 1PX
381,Egerton Crescent,15950000,House,4090,4,4,4,,London,SW3 2ED
382,Cruikshank Street,900000,Flat / Apartment,769,2,2,2,Grays Inn,London,WC1X 9HF
383,Gledhow Gardens,6950000,Flat / Apartment,3001,4,4,4,,London,SW5 0AY
384,Elm Bank Mansions,1200000,Flat / Apartment,1155,3,3,3, Barnes,London,SW13 0NS
385,Coleraine Road,399995,Flat / Apartment,990,3,3,3,,Blackheath,SE3 7PE
386,Queen Anne Road,1100000,House,1607,4,4,4,South Hackney,London,E9 7AH
387,Paintworks,650000,New development,646,2,2,2,Kingsland Road,London,E2 8AG
388,West Temple Sheen,2950000,House,3716,5,5,5,East Sheen,London,SW14 7AP
389,Rowditch Lane,600000,House,953,3,3,3,,London,SW11 5BX
390,Holmead Road,2450000,House,2313,4,4,4, Fulham,London,SW6 2JE
391,Huguenot Place,775000,Flat / Apartment,939,2,2,2,,London,SW18 2EN
392,Addison House,625000,Flat / Apartment,652,2,2,2, St John's Wood,London,NW8 9EL
393,Cumberland Terrace Mews,295000,Studio,344,0,0,0,Regent's Park,London,NW1 4HR
394,St. Johns Wood Terrace,2350000,House,1519,4,4,4,St John's Wood,London,NW8 6JJ
395,Wimbolt Street,1999995,House,1935,5,5,5,Shoreditch,London,E2 7BX
396,Belgrave Mews North,2250000,House,1299,3,3,3,,London,SW1X 8RS
397,Church Road,550000,Flat / Apartment,582,2,2,2,Richmond,Surrey,TW9 1UA
398,St. Augustines Road,499000,Flat / Apartment,451,1,1,1,Camden,London,NW1 9RN
399,St. John's Hill,850000,Flat / Apartment,1339,3,3,3,,London,SW11 1TH
400,Regents Drive,950000,House,1857,4,4,4,Woodford Green,Essex,IG8 8RZ
401,Piercing Hill,799999,House,1507,4,4,4, Epping,Essex,CM16 7JN
402,Bourne Street,2500000,House,1340,3,3,3,,London,SW1W 8JR
403,Eaton Terrace,6450000,House,3336,5,5,5,Belgravia,London,SW1W 8EZ
404,Palace Court,2250000,Penthouse,1765,2,2,2,,London,W2 4HU
405,Iverna Gardens,2500000,Flat / Apartment,1752,3,3,3,,London,W8 6TW
406,City North East Tower,475000,New development,560,1,1,1,3 City North Place,London,N4 3FQ
407,ICON7,560000,New development,657,2,2,2, Holloway,London,N7 0JN
408,ICON7,610000,New development,758,2,2,2, Holloway,London,N7 0JN
409,ICON7,600000,New development,758,2,2,2, Holloway,London,N7 0JN
410,Octavia House,615000,Flat / Apartment,797,1,1,1,Imperial Wharf,Fulham,SW6 2FH
411,Gloucester House,625000,Flat / Apartment,960,2,2,2, Sheen Road,Richmond,TW10 5BB
412,Entwistle Terrace,600000,Flat / Apartment,658,1,1,1,St. Peters Square,London,W6 9AW
413,Rutherford House,650000,Flat / Apartment,848,2,2,2, Battersea,London,SW11 4BT
414,Evelyn Road,1285000,House,1476,3,3,3,Richmond,Surrey,TW9 2TF
415,Oakford Road,1795000,House,1824,5,5,5,Kentish Town,London,NW5 1AJ
416,Walham Grove,825000,Flat / Apartment,843,2,2,2,Fulham,London,SW6 1QR
417,Killieser Avenue,2350000,House,3180,6,6,6,,London,SW2 4NX
418,Underwood Street,2350000,Flat / Apartment,2577,3,3,3,Old Street,London,N1 7LG
419,Emperors Gate,2500000,Flat / Apartment,1498,2,2,2,,London,SW7 4JA
420,Stapleton Road,675000,Flat / Apartment,946,3,3,3,,London,SW17 8AY
421,Stokesheath Road,4650000,House,7996,6,6,6,Oxshott,Surrey,KT22 0PN
422,Tile Kiln Lane,1695000,House,6356,6,6,6, Uxbridge,Middlesex,UB9 6LU
423,Old Town,1050000,Flat / Apartment,976,2,2,2,,The Metal Works,SW4 0JT
424,Atina Court,1200000,Flat / Apartment,932,2,2,2, Belsize Park,London,NW3 4UR
425,Fulham Palace Road,625000,Flat / Apartment,663,2,2,2,,London,SW6 6TA
426,Cottimore Avenue,649950,House,1378,4,4,4,Walton-on-Thames,Surrey,KT12 2AE
427,Voltaire Buildings,450000,Flat / Apartment,600,2,2,2,330 Garratt Lane,London,SW18 4FR
428,Chipstead Street,3450000,House,3070,5,5,5,Fulham,London,SW6 3SR
429,Cambridge Street,995000,Flat / Apartment,908,2,2,2,Pimlico,London,SW1V 4QE
430,Arthur Road,795000,Flat / Apartment,1536,3,3,3,Wimbledon,London,SW19 7DN
431,Cromwell Road,1775000,House,2336,5,5,5,Wimbledon,London,SW19 8LF
432,Burwood Park Road,1295000,House,2371,5,5,5, Walton-on-Thames,Surrey,KT12 5LJ
433,Forge Lane,975000,House,1201,3,3,3,Richmond,Surrey,TW10 7BF
434,High Oaks Close,1100000,House,3185,5,5,5,Coulsdon,Surrey,CR5 3EZ
435,Roskell Road,549950,Flat / Apartment,730,1,1,1,Putney,London,SW15 1DS
436,Cautley Avenue,295000,Studio,277,0,0,0,,London,SW4 9HU
437,Clarendon Gardens,2600000,Flat / Apartment,1779,3,3,3,Little Venice,London,W9 1AZ
438,Turpins Lane,700000,House,1441,4,4,4,Woodford Green,Essex,IG8 8AZ
439,Pavilion Road,3950000,House,1917,1,1,1,Knightsbridge,London,SW1X 0AX
440,Islington,1500000,House,1666,3,3,3,,London,N7 8LS
441,Elwood Street,1350000,House,1629,4,4,4,Highbury,London,N5 1EH
442,Northchurch Road,900000,Flat / Apartment,1069,2,2,2,,London,N1 3NU
443,Ellington Street,2750000,House,2500,5,5,5,Islington,London,N7 8PN
444,Tollington Way,699500,New development,990,2,2,2, London,N7 6QX,N7 6RG
445,Well Walk,799950,Flat / Apartment,770,2,2,2,Hampstead,London,NW3 1LD
446,Irene Road,2895000,House,2730,5,5,5, Fulham,London,SW6 4AL
447,Melbourne Mansions,799950,Flat / Apartment,940,3,3,3,Queens Club Gardens,London,W14 9SF
448,Wandsworth Bridge Road,2250000,House,2949,6,6,6,Fulham,London,SW6 2TB
449,Trystings Close,1125000,House,2495,5,5,5, Esher,Surrey,KT10 0TF
450,Lillie Square East,2020000,New development,1262,3,3,3, Earls Court,London,SW6 1UE
451,Graveney Road,975000,House,1308,4,4,4,Tooting,London,SW17 0EG
452,Louisville Road,1595000,House,2790,6,6,6,,London,SW17 8RN
453,Merino Court,850000,Flat / Apartment,978,3,3,3, Clerkenwell,London,EC1V 8BG
454,Westville Road,570000,Flat / Apartment,682,2,2,2,,London,W12 9BD
455,North Road,2400000,House,2411,4,4,4,Highgate,London,N6 4AA
456,Jubilee Court,475000,Flat / Apartment,496,1,1,1, Greenwich,London,SE10 9FJ
457,Onslow Road,800000,Flat / Apartment,734,2,2,2,Richmond,Surrey,TW10 6QH
458,Old Oak Avenue,950000,House,3006,5,5,5, Coulsdon,Surrey,CR5 3PG
459,Roehampton High Street,1200000,House,1934,4,4,4,Putney,London,SW15 4HH
460,Arthur Road,3250000,House,4370,6,6,6,Wimbledon,London,SW19 7DP
461,Gibson Square,2375000,House,2153,3,3,3,Islington,London,N1 0RD
462,Eamont Court,650000,Flat / Apartment,595,2,2,2,Shannon Place,London,NW8 7DN
463,Disraeli Road,1295000,House,876,4,4,4,Putney,London,SW15 2DS
464,Quill Lane,1000000,House,905,2,2,2,Putney,London,SW15 1PD
465,York Mansions,1885000,Flat / Apartment,1675,4,4,4,Prince of Wales Drive,London,SW11 4DL
466,Thornton Hill,635000,Flat / Apartment,797,2,2,2,,London,SW19 4HS
467,Montem Terrace,3495000,New development,4420,6,6,6, Wimbledon,London,SW20 8TG
468,Ballantine Street,1200000,House,1378,3,3,3, Wandsworth,London,SW18 1AL
469,Freshford Street,1200000,House,1751,4,4,4, Wandsworth,London,SW18 3TF
470,Swanage Road,1600000,House,2330,5,5,5,Wandsworth,London,SW18 2DZ
471,Arlesey Close,799000,House,1214,3,3,3,Putney,London,SW15 2EX
472,Disraeli Road,850000,Flat / Apartment,876,2,2,2,Putney,London,SW15 2DZ
473,Chestnut Court,500000,Flat / Apartment,872,2,2,2, Northwood,Middlesex,HA6 3NL
474,Montagu Mews North,2500000,House,1323,3,3,3,Marylebone,London,W1H 2JR
475,Albion Street,3950000,House,2547,4,4,4,Hyde Park,London,W2 2AS
476,Eaton Row,2995000,House,1393,3,3,3,,London,SW1W 0JA
477,Redcliffe Gardens,995000,Flat / Apartment,888,1,1,1,,London,SW10 9JJ
478,Gerrard Road,2250000,House,1857,4,4,4,,London,N1 8BA
479,New North Road,749950,Flat / Apartment,855,2,2,2,,London,N1 6JB
480,ICON7,420000,New development,538,1,1,1, Holloway,London,N7 0JN
481,Richmond Road,424995,Flat / Apartment,422,1,1,1,Hackney,London,E8 3AA
482,The Pryors,2150000,Flat / Apartment,2074,4,4,4,East Heath Road,London,NW3 1BP
483,Bishops Road,1500000,House,1645,3,3,3,Fulham,London,SW6 7AB
484,Gosberton Road,1575000,House,2115,4,4,4,,London,SW12 8LQ
485,Hearnville Road,1500000,House,2242,5,5,5,,London,SW12 8RR
486,Discovery Dock Apartments West,550000,Flat / Apartment,600,1,1,1, Canary Wharf,London,E14 9RT
487,Wilmington Square,475000,Flat / Apartment,381,1,1,1,Clerkenwell,London,WC1X 0EG
488,Nevill Court,595000,Flat / Apartment,791,2,2,2,Edith Terrace,London,SW10 0TL
489,Ferry Road,2250000,House,2937,6,6,6,Barnes,London,SW13 9PR
490,Waldemar Avenue,755000,Flat / Apartment,907,3,3,3,,London,SW6 5LN
491,Battersea Church Road,900000,Flat / Apartment,1218,3,3,3,Battersea,London,SW11 3ND
492,Buckingham Gate,1990000,Flat / Apartment,1560,2,2,2,St. James's,London,SW1E 6LB
493,South Park Road,1195000,House,1464,3,3,3,Wimbledon,London,SW19 8SZ
494,Garratt Lane,450000,Flat / Apartment,696,2,2,2,,London,SW18 4EE
495,Cadogan Terrace,325000,Flat / Apartment,339,1,1,1,Victoria Park,London,E9 5HP
496,Hassett Road,1150000,House,1541,4,4,4,,London,E9 5SL
497,Sterling House,850000,Flat / Apartment,1456,2,2,2, Putney,London,SW15 6AR
498,Boatman's Court,879000,New development,1004,2,2,2, Putney,London,SW15 1PP
499,Comyn Road,1295000,House,1875,5,5,5,,London,SW11 1QB
500,Hightrees House,575000,Flat / Apartment,695,2,2,2,Nightingale Lane,London,SW12 8AH
501,Green Street,4100000,Flat / Apartment,1496,2,2,2,Mayfair,London,W1K 6RG
502,Morton Road,1800000,House,1919,3,3,3,Islington,London,N1 3BD
503,Highbury Gardens,649950,Flat / Apartment,804,2,2,2,52 Holloway Road,London,N7 8BW
504,Crediton Hill,899950,Flat / Apartment,1143,2,2,2,West Hampstead,London,NW6 1HR
505,Moore Park Road,1999950,New development,1848,3,3,3,,London,SW6 4PS
506,Southborough Road,1995000,New development,3510,5,5,5,Surbiton,Surrey,KT6 6JN
507,Queen's Gate Gardens,1595000,Flat / Apartment,1170,2,2,2,Kensington,London,SW7 5RR
508,United House,499000,New development,690,2,2,2,Mayflower Street,London,SE16 4JL
509,Three Riverside,3410000,Penthouse,2852,4,4,4,Riverside Quarter,London,SW18 1PP
510,Onslow Gardens,6750000,Flat / Apartment,2823,5,5,5,,London,SW7 3QB
511,Ensor Mews,2850000,House,1724,3,3,3,,London,SW7 3BT
512,Roland Gardens,1895000,Flat / Apartment,1474,3,3,3,,London,SW7 3PE
513,Wardo Avenue,1650000,House,1756,4,4,4,Fulham,London,SW6 6RB
514,Kinnoul Road,1225000,House,1806,4,4,4,Fulham,London,W6 8NQ
515,Stanlake Road,1100000,House,2145,5,5,5,,London,W12 7HG
516,Spencer Hill,1095000,House,950,2,2,2,Wimbledon,London,SW19 4PA
517,Kingston Hill,2395000,House,3498,5,5,5,Kingston upon Thames,Surrey,KT2 7LN
518,Upton Court,550000,Flat / Apartment,904,2,2,2, Wimbledon,London,SW20 8JB
519,Earlsfield Road,1500000,House,2583,5,5,5, Wandsworth,London,SW18 3DA
520,Dempster Road,750000,Flat / Apartment,911,2,2,2, Wandsworth,London,SW18 1AS
521,Atheldene Road,1150000,House,1822,5,5,5, Wandsworth,London,SW18 3BN
522,Townshend Court,665000,Flat / Apartment,647,2,2,2,Shannon Place,London,NW8 7DP
523,Hamilton Terrace,1250000,Flat / Apartment,1036,2,2,2,St. John's Wood,London,NW8 9UJ
524,St. Johns Road,1895000,House,2564,5,5,5,Richmond,Surrey,TW9 2PE
525,James House,600000,Flat / Apartment,632,2,2,2,70 Webb's Road,London,SW11 6SE
526,Broomwood Road,700000,Flat / Apartment,946,2,2,2,,London,SW11 6JX
527,Bolingbroke Grove,2450000,House,3020,6,6,6,Clapham,London,SW11 6ES
528,Lowndes Square,1750000,Flat / Apartment,853,2,2,2,,London,SW1X 9HA
529,Eagle Wharf Road,895000,New development,1033,3,3,3,Islington,London,N1 7EG
530,Youngs Court,1000000,Flat / Apartment,884,1,1,1, Hampstead,London,NW3 1DD
531,Moore Park Road,2300000,House,2124,4,4,4,Fulham,London,SW6 2HH
532,Montpellier Road,375000,Flat / Apartment,444,1,1,1,Ealing,London,W5 2QS
533,Esher Place Avenue,2150000,House,3177,5,5,5,Esher,Surrey,KT10 8PY
534,Common Road,785000,New development,1474,3,3,3, Esher,Surrey,KT10 0HG
535,Bolander Grove,725000,New development,591,1,1,1,,London,SW6 1EY
536,Sheen Road,2850000,House,5130,7,7,7,Richmond,Surrey,TW10 5AL
537,Birds Hill Drive,5950000,New development,11716,6,6,6,Oxshott,Surrey,KT22 0SW
538,Ashley Gardens,985000,Flat / Apartment,1140,2,2,2,Thirleby Road,London,SW1P 1HN
539,St. Ann's Crescent,585000,Flat / Apartment,795,2,2,2,,London,SW18 2ND
540,Herndon Road,995000,House,1993,5,5,5,Wandsworth,London,SW18 2DG
541,Claremont Court,550000,Flat / Apartment,666,2,2,2, Shoreditch,London,E2 6DE
542,Eaton Square,7300000,Flat / Apartment,2230,3,3,3,Belgravia,London,SW1W 9DH
543,Elsworthy Terrace,1250000,Flat / Apartment,885,2,2,2,Primrose Hill,London,NW3 3DR
544,Radnor Mews,3750000,House,2396,4,4,4,Hyde Park Estate,London,W2 2SA
545,Thornton Place,430000,Studio,514,1,1,1,Clapham Common North Side,London,SW4 0AB
546,Thornton Place,830000,Flat / Apartment,891,2,2,2,Clapham Common North Side,London,SW4 0AB
547,Pearson Square,1100000,Flat / Apartment,635,1,1,1,Fitzrovia,London,W1T 3BJ
548,John Adam Street,3100000,New development,1410,3,3,3,Covent Garden,London,WC2N 6LU
549,Vicarage Gate,925000,Flat / Apartment,706,1,1,1,,London,W8 4HH
550,Pyrland Road,2650000,House,3319,6,6,6,Highbury,London,N5 2JA
551,Elwood House,450000,Flat / Apartment,569,2,2,2,Hurlock Street,London,N5 1EU
552,Dalston Square,650000,Flat / Apartment,720,2,2,2,Hackney,London,E8 3GT
553,Lyncroft Mansions,799950,Flat / Apartment,956,2,2,2, West Hampstead,London,NW6 1JY
554,Chelsea Vista,1250000,Penthouse,1209,2,2,2, Fulham,London,SW6 2SD
555,Ashburnham Park,2995000,House,5614,6,6,6,Esher,Surrey,KT10 9TW
556,Claremont Drive,2250000,House,3661,4,4,4,Esher,Surrey,KT10 9LU
557,Sandown Road,2995000,House,7087,7,7,7,Esher,Surrey,KT10 9TT
558,Pavilion Park,1100000,New development,1629,3,3,3, East Molesey,Surrey,KT8 9DX
559,Berwyn Road,3350000,House,3770,6,6,6,Richmond,Surrey,TW10 5BP
560,St John Street,775000,Flat / Apartment,810,1,1,1,Clerkenwell,London,EC1V 4LD
561,Meon Road,800000,House,1080,3,3,3,Acton,London,W3 8AN
562,Beverley Close,1850000,House,1735,4,4,4,Barnes,London,SW13 0EH
563,Cambridge Road,1500000,House,1108,3,3,3,Barnes,London,SW13 0PG
564,Davisville Road,1695000,House,2147,5,5,5,,London,W12 9SJ
565,Fladgate House,750000,Flat / Apartment,686,1,1,1, Battersea,London,SW11 8EU
566,York Mansions,1985000,Flat / Apartment,1492,3,3,3, Battersea,London,SW11 4BW
567,Hamilton Terrace,1100000,Flat / Apartment,1125,2,2,2,St. John's Wood,London,NW8 9UJ
568,Seward Street,650000,Flat / Apartment,674,2,2,2,Clerkenwell,London,EC1V 3PA
569,Bloomfield Terrace,4500000,House,2145,3,3,3,Belgravia,London,SW1W 8PG
570,Westbourne Park Road,4750000,New development,2552,4,4,4,Notting Hill,London,W2 5PH
571,Scotland Road,995000,House,1706,5,5,5,Buckhurst Hill,Essex,IG9 5NP
572,Hampstead Lane,2150000,House,2172,3,3,3,Highgate,London,N6 4RT
573,Corfton Road,695000,Flat / Apartment,964,2,2,2,Ealing,London,W5 2HT
574,Barton Road,575000,Flat / Apartment,573,2,2,2,,London,W14 9HA
575,Bramham Gardens,1950000,Flat / Apartment,966,2,2,2,,London,SW5 0HQ
576,Stonehill Road,2000000,House,2365,4,4,4,,London,SW14 8RW
577,Teal Court,1100000,Flat / Apartment,816,2,2,2,Star Place,London,E1W 1AB
578,Louisville Road,1550000,House,2500,5,5,5,,London,SW17 8RL
579,HKR,649999,New development,569,1,1,1,211-227 Hackney Road,London,E2 8NA
580,St. Albans Avenue,1500000,House,1868,5,5,5,Chiswick,London,W4 5JR
581,The Lindens,725000,House,960,3,3,3,Hartington Road,London,W4 3UQ
582,Shorrolds Road,785000,Flat / Apartment,739,2,2,2,,London,SW6 7TP
583,Wetherell Road,400000,Flat / Apartment,491,1,1,1,South Hackney,London,E9 7DS
584,Wieland Road,1395000,House,2141,4,4,4,Northwood,Middlesex,HA6 3RD
585,Ravenswood Park,799950,House,1519,4,4,4,Northwood,Middlesex,HA6 3PS
586,Grove Lane,975000,Bungalow,2169,3,3,3,Chigwell,Essex,IG7 6JD
587,Cadogan Place,4750000,House,2157,4,4,4,Belgravia,London,SW1X 9RP
588,Highbury New Park,899950,Flat / Apartment,947,2,2,2,,London,N5 2ET
589,Offord Road,925000,Flat / Apartment,931,2,2,2,Islington,London,N1 1EA
590,Linver Road,1800000,House,1776,5,5,5,Fulham,London,SW6 3RB
591,Perrymead Street,2950000,House,3144,6,6,6,Fulham,London,SW6 3SW
592,Doulton House,795000,New development,825,2,2,2, Fulham,London,SW6 2FS
593,Regal House,795000,Flat / Apartment,798,2,2,2, Imperial Wharf,London,SW6 2GZ
594,Fitzroy House,499999,Flat / Apartment,452,1,1,1, Longfield Avenue,London,W5 2QY
595,Herne Road,1450000,House,2523,4,4,4,Surbiton,Surrey,KT6 5BX
596,Columbia Gardens,780000,New development,558,1,1,1,,London,SW6 1FU
597,Cleveley Court,398000,New development,461,1,1,1,Ashton Reach,London,SE16 7EP
598,Amelia Street,570000,Flat / Apartment,680,2,2,2,,London,SE17 3BZ
599,Alston Road,625000,House,1007,2,2,2,,London,SW17 0TR
600,Thorne Street,1150000,House,1259,3,3,3,Barnes,London,SW13 0PT
601,Seward Street,655000,Flat / Apartment,703,2,2,2,Clerkenwell,London,EC1V 3PA
602,Hamond Square,375000,Flat / Apartment,482,1,1,1,Hoxton,London,N1 5JQ
603,Oppidans Road,2395000,House,2221,4,4,4,Primrose Hill,London,NW3 3AG
604,Cairns Road,670000,Flat / Apartment,614,2,2,2,,London,SW11 1ES
605,Broomwood Road,1450000,House,1792,5,5,5,,London,SW11 6JZ
606,Cleveland Street,1750000,Flat / Apartment,2203,3,3,3,Fitzrovia,London,W1T 6NG
607,Kinnerton Street,2250000,House,1673,3,3,3,,London,SW1X 8EA
608,Liverpool Road,1295000,Penthouse,1424,3,3,3,,London,N1 1LA
609,Palewell Park,1750000,House,2435,4,4,4,,London,SW14 8JH
610,Gaskarth Road,700000,Flat / Apartment,707,2,2,2,,London,SW12 9NL
611,Grange Road,2100000,House,2137,5,5,5,Barnes,London,SW13 9RE
612,Latchmere Road,775000,House,1414,4,4,4,Battersea,London,SW11 2DT
